college_img,college_name,college_fees,college_loc,college_course,college_rating,CutOff
"https://images.static-collegedunia.com/public/college_data/images/appImage/25698_1464176959DPU-Buillding.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil Vidyapeeth - [DPU], Pune","27,50,000","Pune, Maharashtra",MBBS ,8.4,488336
"https://images.static-collegedunia.com/public/college_data/images/appImage/10270_afmccover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Armed Forces Medical College - [AFMC], Pune",31870,"Pune, Maharashtra",MBBS ,9.7,25000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10499_slide-five1421991589.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Grant Medical College and Sir J. J. Group of Hospitals, Mumbai",,"Mumbai, Maharashtra",MBBS ,8.8,"10,092"
"https://images.static-collegedunia.com/public/college_data/images/appImage/10971_SGSMC_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Seth GS Medical College - [GSMC], Mumbai","1,12,615","Mumbai, Maharashtra",MBBS ,8,539
"https://images.static-collegedunia.com/public/college_data/images/appImage/10700_MGIMS_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mahatma Gandhi Institute of Medical Sciences - [MGIMS], Wardha","4,64,700","Wardha, Maharashtra",MBBS ,8.1,7772
"https://images.static-collegedunia.com/public/college_data/images/appImage/10668_g1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Lokmanya Tilak Municipal Medical College-[LTMMC], Mumbai","1,02,730","Mumbai, Maharashtra",MBBS ,7.2,45075
"https://images.static-collegedunia.com/public/college_data/images/appImage/10289_BJMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Byramjee Jeejeebhoy Government Medical College - [BJMC], Pune","1,04,400","Pune, Maharashtra",MBBS ,8.2,60068
"https://images.static-collegedunia.com/public/college_data/images/appImage/10602_KJSMCRC_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","K.J. Somaiya Medical College & Research Centre - [KJSMC], Mumbai","10,25,000","Mumbai, Maharashtra",MBBS ,7.6,201000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10817_1448450666patil_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil Medical College Hospital and Research Centre - [DYPMC], Pune","25,00,000","Pune, Maharashtra",MBBS ,7.6,388000
"https://images.static-collegedunia.com/public/college_data/images/appImage/_b1.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College and Hospital, Aurangabad","1,07,710","Aurangabad, Maharashtra",MBBS ,8.1,235068
"https://images.static-collegedunia.com/public/college_data/images/appImage/10457_1443685807GMCLATUR_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College, Latur",98830,"Latur, Maharashtra",MBBS ,7.9,10468
"https://images.static-collegedunia.com/public/college_data/images/appImage/10706_Untitled.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MGM Medical College, Navi Mumbai","20,00,000","Mumbai, Maharashtra",MBBS ,7.2,198595
"https://images.static-collegedunia.com/public/college_data/images/appImage/10394_1448370650dypatil_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","D Y Patil Medical College, Kolhapur","20,00,000","Kolhapur, Maharashtra",MBBS ,6.7,393518
"https://images.static-collegedunia.com/public/college_data/images/appImage/25718_1464177439b8xxd0nb9irvkgv8dhgu.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil University, Navi Mumbai","25,75,000","Mumbai, Maharashtra",MBBS ,7.5,200588
