college_img,college_name,college_course,college_loc,college_fees,AllIndia,Open,Minority
"https://images.static-collegedunia.com/public/college_data/images/appImage/1505131397cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Institute of Chemical Technology - [ICT], Mumbai",B.Pharm ,"Mumbai, Maharashtra","85,350",0,99.81,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1488173208AppNew.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sandip University, Nashik",B.Pharm ,"Nashik, Maharashtra","1,32,000",66.78,92.16,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9781_P1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Poona College of Pharmacy, Pune",B.Pharm ,"Pune, Maharashtra","1,02,000",74.47,93.43,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1510318821cvrnew.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bombay College of Pharmacy - [BCP], Mumbai",B.Pharm ,"Mumbai, Maharashtra","41,633",0,99.64,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1503566414147288295925721RSTMApp.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rashtrasant Tukadoji Maharaj Nagpur University - [RTMNU], Nagpur",B.Pharm ,"Nagpur, Maharashtra","16,335",36.12,85.08,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9386_DBNCP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. Bhanuben Nanavati College of Pharmacy, Mumbai",B.Pharm ,"Mumbai, Maharashtra","1,98,000",75.92,95.54,95.15
"https://images.static-collegedunia.com/public/college_data/images/appImage/_b.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth’s College of Pharmacy - [BVCOP], Navi Mumbai",B.Pharm ,"Mumbai, Maharashtra","1,55,000",87.84,97.97,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9764_DrDYPatil_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil College of Pharmacy Akurdi, Pune",B.Pharm ,"Pune, Maharashtra","1,43,053",37.96,82.21,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1509454461cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mumbai University - [MU], Mumbai",B.Pharm ,"Mumbai, Maharashtra",,88.83,98.5,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9791_PRCP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pravara Rural College of Pharmacy (Diploma), Ahmed Nagar",B.Pharm ,"Nagar, Maharashtra","1,20,000",70.63,93.68,0
