college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4804/2018/5/2/BVU-College-of-Engineering-Pune-9.jpg,"Bharati Vidyapeeth Deemed University College of Engineering, Pune","Pune, Maharashtra",B.Tech Civil Engineering,509 860,21.69,59.88,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3859/2018/8/22/1-Maharashtra-Institute-of-Technology-Pune-(22).jpg,"MIT WPU Faculty of Engineering, Pune","Pune, Maharashtra",B.Tech Civil Engineering,12 40 000,89.62,83.16,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3075/2018/7/16/Sinhgad-College-of-Engineering-Pune-campus3.jpg,"Sinhgad College of Engineering, Pune","Pune, Maharashtra",BE Civil Engineering,536 608,38.61,72.14,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2600/2018/5/24/Walchand-College-of-Engineering-Sangli5.png,"Walchand College of Engineering, Sangli","Sangli, Maharashtra",B.Tech Civil Engineering,339 860,97.73,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4361/2018/5/17/Government-College-of-Engineering-Karad17.png,"Government College of Engineering, Karad","Karad, Maharashtra",B.Tech Civil Engineering,286 486,91.59,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2491/2018/7/28/Shri-Ramdeobaba-College-of-Engineering-and-Management-Nagpur7.jpg,"Shri Ramdeobaba College of Engineering and Management, Nagpur","Nagpur, Maharashtra",BE Civil Engineering,599 600,49.91,31.42,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1659/2018/4/27/Sandip-University-Nashik18.jpg,"Sandip University, Nashik","Nashik, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech Civil Engineering,400 000,14.1,15.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1972/2019/7/5/Campus,"Priyadarshini College of Engineering, Nagpur","Nagpur, Maharashtra",BE Civil Engineering,,25.92,26.32,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3275/2018/8/8/Sanjivani-College-of-Engineering-Kopargaon4.png,"Sanjivani College of Engineering, Kopargaon","Kopargaon, Maharashtra",B.Tech Civil Engineering,520 000,54.92,37.06,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3158/2019/3/18/Campus,"Shree LR Tiwari College of Engineering, Thane","Thane, Maharashtra",BE Civil Engineering,360 000,7.86,63.34,15.18
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4981/2018/11/3/Campus,"Annasaheb Dange College of Engineering and Technology, Sangli","Ashta, Maharashtra",BE Civil Engineering,404 000,61.9,55.82,0
