college img,college name,college loc,college course,college fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4804/2018/5/2/BVU-College-of-Engineering-Pune-9.jpg,"Bharati Vidyapeeth Deemed University College of Engineering, Pune","Pune, Maharashtra",B.Tech Computer Engineering,509 860,91.96,89.58,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2702/2018/8/1/Veermata-Jijabai-Technological-Institute-Mumbai5.jpg,VJTI Mumbai - Veermata Jijabai Technological Institute,"Mumbai, Maharashtra",B.Tech Computer Engineering,322 300,99.95,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4083/2018/5/24/KJ-Somaiya-College-of-Engineering-Mumbai2.png,"K.J.Somaiya College of Engineering, Vidyavihar, Mumbai","Mumbai, Maharashtra",B.Tech Computer Engineering,11 35 000,99.5,98.68,97.66
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3859/2018/8/22/1-Maharashtra-Institute-of-Technology-Pune-(22).jpg,"MIT WPU Faculty of Engineering, Pune","Pune, Maharashtra",B.Tech Computer Science Engineering,240 000,96.9,94.38,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3075/2018/7/16/Sinhgad-College-of-Engineering-Pune-campus3.jpg,"Sinhgad College of Engineering, Pune","Pune, Maharashtra",BE Computer Engineering,536 608,95.12,92.31,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4363/2018/5/17/Government-College-of-Engineering-Amravati2aaaa.jpg,"Government College of Engineering, Amravati","Amravati, Maharashtra",B.Tech Computer Science and Engineering,314 920,96.17,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2491/2018/7/28/Shri-Ramdeobaba-College-of-Engineering-and-Management-Nagpur7.jpg,"Shri Ramdeobaba College of Engineering and Management, Nagpur","Nagpur, Maharashtra",BE Computer Science and Engineering,599 600,99.62,98.78,98.81
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2670/2018/8/1/Vidyalankar-Institute-of-Technology-Mumbai-CV1.jpg,"Vidyalankar Institute of Technology, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,603 160,97.77,94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2620/2019/5/28/College,"Vivekanand Education Society's Institute of Technology, Chembur","Mumbai, Maharashtra",BE Computer Engineering,423 384,98.51,96.71,66.33
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1659/2018/4/27/Sandip-University-Nashik18.jpg,"Sandip University, Nashik","Nashik, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech AI and Machine Learning Xebia,,83.06,69.34,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2802/2020/9/1/Campus,"Thakur College of Engineering and Technology, Kandivali, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,627 304,96.84,95.34,89.37
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3740/2018/8/20/MKSSSs-Cummins-College-of-Engineering-for-Women-Pune-campus1.jpg,"MKSSS's Cummins College of Engineering for Women, Pune","Pune, Maharashtra",B.Tech Computer Engineering,723 344,0,96.11,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2804/2018/9/26/Campus,"Thadomal Shahani Engineering College, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,757 612,98.7,97.43,21.81
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3275/2018/8/8/Sanjivani-College-of-Engineering-Kopargaon4.png,"Sanjivani College of Engineering, Kopargaon","Kopargaon, Maharashtra",B.Tech Computer Engineering,520 000,91.72,81.33,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4991/2018/10/29/Campus,"Anjuman-I-Islam's Kalsekar Technical Campus, Navi Mumbai","Navi Mumbai, Maharashtra",BE Computer Engineering,292 213,39.64,84.95,28.89
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3158/2019/3/18/Campus,"Shree LR Tiwari College of Engineering, Thane","Thane, Maharashtra",BE Computer Engineering,360 000,89,90.4,53.35
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1971/2018/7/25/Pune-Vidhyarthi-Grihas-College-of-Engineering-and-Technology-Pune-building.jpg,"Pune Vidyarthi Griha's College of Engineering and Technology, Pune","Pune, Maharashtra",BE Computer Engineering,457 588,99.68,98.94,0
