college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4804/2018/5/2/BVU-College-of-Engineering-Pune-9.jpg,"Bharati Vidyapeeth Deemed University College of Engineering, Pune","Pune, Maharashtra",B.Tech Electronics and Communication Engineering,509 860,29.45,56.02,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3859/2018/8/22/1-Maharashtra-Institute-of-Technology-Pune-(22).jpg,"MIT WPU Faculty of Engineering, Pune","Pune, Maharashtra",B.Tech Electronics and Communication Engineering,12 40 000,91.67,87.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2491/2018/7/28/Shri-Ramdeobaba-College-of-Engineering-and-Management-Nagpur7.jpg,"Shri Ramdeobaba College of Engineering and Management, Nagpur","Nagpur, Maharashtra",BE Electronics and Communication Engineering,599 600,98.93,97.01,93.77
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2620/2019/5/28/College,"Vivekanand Education Society's Institute of Technology, Chembur","Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,423 384,93.72,90.51,29.31
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3740/2018/8/20/MKSSSs-Cummins-College-of-Engineering-for-Women-Pune-campus1.jpg,"MKSSS's Cummins College of Engineering for Women, Pune","Pune, Maharashtra",B.Tech Electronics and Telecommunication Engineering II Shift,723 344,0,91.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4337/2019/3/4/Campus,"Government College of Engineering and Research, Pune","Awasari Khurd, Maharashtra",B.Tech Electronics and Telecommunication Engineering,96 659,92.01,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1972/2019/7/5/Campus,"Priyadarshini College of Engineering, Nagpur","Nagpur, Maharashtra",BE Electronics and Telecommunication Engineering,,15.79,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4991/2018/10/29/Campus,"Anjuman-I-Islam's Kalsekar Technical Campus, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,292 213,3.47,46.08,3.47
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3158/2019/3/18/Campus,"Shree LR Tiwari College of Engineering, Thane","Thane, Maharashtra",BE Electronics and Telecommunication Engineering,360 000,3.32,46.07,7.19
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4990/2020/10/30/Campus,MH Saboo Siddik College of Engineering,"Mumbai, Maharashtra",B.Tech Electronics and Telecommunication Engineering,263 972,26.58,73.04,2.02
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5303/2019/3/16/College,"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,475 004,89.26,86.5,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4566/2018/11/6/Campus-View,"Zeal College of Engineering and Research, Narhe","Pune, Maharashtra  FeesCutoff",B.Tech Electronics and Telecommunication Engineering,,13.02,4.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8791/2019/2/26/Campus,"Pimpri Chinchwad College of Engineering and Research, Pune","Pimpri-Chinchwad, Maharashtra",BE Electronics and Telecommunication Engineering,318 886,97.58,93.45,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4092/2018/9/24/College,"JSPM Narhe Technical Campus, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,328 000,26.82,15.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5005/2018/10/29/Campus,"Amrutvahini College of Engineering, Ahmednagar","Sangamner, Maharashtra",BE Electronics and Telecommunication Engineering,416 000,84.79,63.88,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2667/2019/3/8/Campus,"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai, Maharashtra",BE Electronics and Telecommunication Engineering,,49.97,70.46,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4574/2018/10/11/campus,"Dhole Patil College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,432 884,45.71,21.33,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4919/2019/3/4/Campus,"Atharva College of Engineering, Malad","Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,535 296,43.39,75.83,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1990/2018/10/30/Campus,"Mahatma Gandhi Mission's College of Engineering and Technology, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,273 792,25.74,73.32,2.03
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3480/2018/10/11/Campus,"Modern Education Society's College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,480 000,78.71,70.81,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3797/2018/8/1/Marathwada-Mitra-Mandals-College-of-Engineering-Pune-campus-view1.PNG,"Marathwada Mitra Mandal's College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,394 000,58.87,66.76,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1960/2019/3/14/Campus,"Sipna College of Engineering and Technology, Amravati","Amravati, Maharashtra",BE Electronics and Telecommunication Engineering,,42.84,39.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2678/2019/3/26/College,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology, Pune","Baramati, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,252 264,57.92,3.95,0
