college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4804/2018/5/2/BVU-College-of-Engineering-Pune-9.jpg,"Bharati Vidyapeeth Deemed University College of Engineering, Pune","Pune, Maharashtra",B.Tech Mechanical Engineering,509 860,66.54,37.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2702/2018/8/1/Veermata-Jijabai-Technological-Institute-Mumbai5.jpg,VJTI Mumbai - Veermata Jijabai Technological Institute,"Mumbai, Maharashtra",B.Tech Mechanical Engineering,322 300,99.66,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4083/2018/5/24/KJ-Somaiya-College-of-Engineering-Mumbai2.png,"KJ Somaiya College of Engineering, Mumbai","Mumbai, Maharashtra",B.Tech Mechanical Engineering,1 135 000,98.42,97.62,59.44
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3859/2018/8/22/1-Maharashtra-Institute-of-Technology-Pune-(22).jpg,"MIT WPU Faculty of Engineering, Pune","Pune, Maharashtra",B.Tech Mechanical Engineering,12 40 000,92.12,83.31,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3075/2018/7/16/Sinhgad-College-of-Engineering-Pune-campus3.jpg,"Sinhgad College of Engineering, Pune","Pune, Maharashtra",BE Mechanical Engineering,536 608,69.77,71.82,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2600/2018/5/24/Walchand-College-of-Engineering-Sangli5.png,"Walchand College of Engineering, Sangli","Sangli, Maharashtra",B.Tech Mechanical Engineering,339 860,19.13,17.61,3.93
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4361/2018/5/17/Government-College-of-Engineering-Karad17.png,"Government College of Engineering, Karad","Karad, Maharashtra",B.Tech Mechanical Engineering,286 486,95.23,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2491/2018/7/28/Shri-Ramdeobaba-College-of-Engineering-and-Management-Nagpur7.jpg,"Shri Ramdeobaba College of Engineering and Management, Nagpur","Nagpur, Maharashtra",BE Mechanical Engineering,599 600,98.3,96.37,83.77
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1659/2018/4/27/Sandip-University-Nashik18.jpg,"Sandip University, Nashik","Nashik, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech Mechanical Engineering,400 000,28.02,60.24,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4465/2018/4/19/GH-Raisoni-College-of-Engineering-Nagpur-1.jpg,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur","Nagpur, Maharashtra",BE Mechanical Engineering,642 840,56.14,74.42,0.82
