pagination,comp_name,comp_role,comp_exp,comp_loc,comp_desc,mskills,cmp_skills
https://www.naukri.com/jobs-in-maharashtra-2133,WCI Consultancy Pvt. Ltd., Marketing    /Sales,2-5 Yrs,"Mumbai, Pune","You MUST be able to prospect, sell and manage the creative portion of each project","Marketing,Marketing","Marketing,salesprospectnew,businesssellprojectand,Marketing,advertisingsalary"
https://www.naukri.com/jobs-in-maharashtra-3097,IIIEM GLOBAL TRAVEL PRIVATE LIMITED,Tele Sales Executive(Female),1-2 Yrs,Pune,Contact potential or existing customers to inform them about our service Ask questions ...,Marketing,"Sales,Marketing,Communication"
https://www.naukri.com/jobs-in-maharashtra-3403,ImmaculateBites Private Limited,Key Account Manager,2-7 Yrs,"Mumbai, Thane, Navi Mumbai, Mumbai (All Areas)",Overall Responsibility:Key Account Manager job entails providing information about the ...,Marketing,"Communication,SkillsKey,AccountsSales,ForecastingCalling,Marketing"
https://www.naukri.com/jobs-in-maharashtra-2507,Salebuild ITES Pvt. Ltd.,Business Development Manager/ Executive,1-5 Yrs,Pune,"JD for Business Development profile. Job Purpose: Builds market position by locating, d...",skills,"EvaluationContract,negotiationsSales,planninglevelBusiness,operationsTrackingProspectingTerritory,managementPresentation,skills"
https://www.naukri.com/jobs-in-maharashtra-840,Signify,Senior Associate - PTP,5-7 Yrs,Pune,As an Senior Associate - PTP y ou will be responsible for the Invoice Management proces...,"and,Office","Career,developmentRoot,cause,analysisOperational,excellenceTime,managementInvoice,processingDiversity,and,Inclusion,MS,Office,Quality"
https://www.naukri.com/jobs-in-maharashtra-5400,WILLPOWER CONSULTANTS,Urgent Hiring For Senior Development Manager - Sales,7-12 Yrs,"Vapi, Mumbai Suburban, Vasai, Thane, Kalyan/Dombivli, Ahmedabad, Rajkot, Surat, Vadodara",Graduation Compulsory AGE CRITERIA : 25 TO 45 YEARS Minimum Experience : 3years in any ...,Marketing,"insurance,Marketing,Executiveloanarea,salesregional,salesB2B,Salessebifield,sales"
https://www.naukri.com/jobs-in-maharashtra-2799,mycitypune,Di GIT  al  Marketing     Executive,3-7 Yrs,Pune,"Candidate should be BCA/ MCA. Should have 3 years of experience of SEO, SEM & SMM,  HTML ...",Marketing,"SMM,CSS,JavaScript,HTML,SEMSEODi,GIT,al,Marketing,Executive"
https://www.naukri.com/jobs-in-maharashtra-5323,Zodiac  HR Consultants (I) Pvt Ltd.,Copywriter - Wah - Mumbai,5-10 Yrs,Mumbai,Roles and Responsibilities 1. Writing copy for key assets across our brand Working to b...,"Marketing,Marketing","Integrated,Marketing,Social,Media,Web,Technologies,Marketing,CampaignsCopy,Writing,Brand,Awareness,SEO"
https://www.naukri.com/jobs-in-maharashtra-3807,Commerce Pundit,Sr. SEM Executive,5-10 Yrs,"Mumbai, Ahmedabad",Good knowledge of current industry trends and  Marketing     tools Google AdWords  certificat...,"Marketing,skills","Google,AdWords,communication,analytical,account,managementGoogle,Analytics,Skills,Digital,Marketing,Analytical,skills"
https://www.naukri.com/jobs-in-maharashtra-2283,Netcentric,AEM Developer Mid / Senior,4-8 Yrs,Pune,"Estimating development tasks, pointing out risks, required provisions and limitations i...",skills,"MavenInterpersonal,skills,GIT,jQuery,JSPCMS,JavaScript,HTML"
https://www.naukri.com/jobs-in-maharashtra-393,IBM India Pvt. Limited,Application Architect: Microservices,7-12 Yrs,Pune,"IntroductionAs an IBM Application Architect, you directly help clients transform their ...",skills,"Performance,tuningInterpersonal,skills,GIT,ArchitectureTime,managementdevopsCloud,Software,development,life,cycle"
https://www.naukri.com/jobs-in-maharashtra-4985,URRI HR INDIA PVT. LTD,Divisional Manager - Finance,7-10 Yrs,Pune,Experience: 7 to 10 Years,"and,and","Manager,TaxManager,TaxationFinanceTaxTaxationFinance,and,Tax,and,AuditFinancial,Management"
https://www.naukri.com/jobs-in-maharashtra-3299,Spocto,Di GIT  al  Marketing     Manager,4-5 Yrs,Mumbai,"Job Description You've got the hunger to win, an energetic and positive outlook, andund...","Marketing,Marketing","Product,managementTelecomEmail,Marketing,NBFCSocial,mediaOnline,Marketing,SEM,SEO"
https://www.naukri.com/jobs-in-maharashtra-1711,RBL Bank,Relationship Manager - Premium Accounts,2-3 Yrs,"Mumbai, Thane",A. PositionPurpose Acquisition of High End Current Accounts through open market along w...,Lead,"Lead,generationPenetrationIRDABranch,bankingBankingRelationshipCMSInternet,banking"
https://www.naukri.com/jobs-in-maharashtra-1677,Accenture,CN - Strategy - MC - CS&S - MT - Salesforce  Marketing     Cloud - 11,1-3 Yrs,Pune,Strong understanding of how di GIT  al channels work together to create a cohesive persona...,"Marketing,Marketing","Customer,acquisition,Marketing,campaignsSalesforce,Marketing,Cloudfunctional,consultantCRMSalesforceSFMC"
https://www.naukri.com/jobs-in-maharashtra-2679,ExecBoardinAsia,General Manager,11-15 Yrs,Pune,Develop good understanding of the market and develop product & pricing strategies to ac...,Marketing,"Marketing,programsProduct,pricingCustomer,satisfactionCompetitive,intelligenceSavingManagementResearchcommercial,sales"
https://www.naukri.com/jobs-in-maharashtra-5210,The HRBPs,Manager - Corporate Finance - Startup,8-10 Yrs,Mumbai,Only Mumbai candidates and immediate joiners may apply Fund raising experience in start...,and,"Corporate,FinanceInvestor,RelationsAccountingFund,RaisingMISFinance,and,AccountsReconciliationBudgeting"
https://www.naukri.com/jobs-in-maharashtra-4129,BC Web Wise Pvt. Limited,Sr. Content Editor,3-4 Yrs,Mumbai,Good organizational and time- management skillsMaster Degree Experience in YearsPlease ...,Office,"Web,technologiesSocial,mediaConsultingWordpressContent,EditorCMSBudgetingMS,Office"
https://www.naukri.com/jobs-in-maharashtra-4749,DimenZion3 Talent Consulting LLP,Team Lead Selection Solutions,3-4 Yrs,Mumbai,Detailed Description: This position will be responsible to lead the recruitment team an...,Lead,"Team,Lead,Selection,SolutionsERPMS,Data,managementSuccession,PlanningHR,HeadReportsTalent,ManagementHuman,Resources"
https://www.naukri.com/jobs-in-maharashtra-4241,NJ India Invest Private Limited,UNIT MANAGER - INVESTMENT,3-7 Yrs,Aurangabad,Primary Role Business Development - 1) Training and Development of Distributors on regu...,-,"UNIT,MANAGER,-,INVESTMENT"
https://www.naukri.com/jobs-in-maharashtra-4381,Brightpod,Content Cruncher,2-7 Yrs,Mumbai,Your main responsibilities will be: Writing content for our blog. Guest post and commen...,"Marketing,Marketing","content,Marketing,Business,Executive,Marketing,strategy"
https://www.naukri.com/jobs-in-maharashtra-5185,SS Consultancy,Analyst - Performance  Marketing    ,4-9 Yrs,Mumbai,We are looking for an analyst with strong mathematical skill and knack on applying her/...,Marketing,"analytics,frameworks,Google,Analytics,Power,BIpaid,Marketing,campaign,Facebook,reportsbusiness,analysis,Qlik,viewdata,visualization"
https://www.naukri.com/jobs-in-maharashtra-4145,ASAPP Info Global Group,Tele - Sales Executive (Subscription),2-7 Yrs,Mumbai,Desired Profile: Graduates / Under- graduates / Freshers are also welcome Should have a...,Office,"Tele,SalesTelesalesTarget,achievementSMSCustomer,CareServiceWindows,MS,Office"
https://www.naukri.com/jobs-in-maharashtra-2303,Searce Inc,Content Strategist,3-8 Yrs,Pune,"Experience of conceptualizing and working on online communication tools like websites, ...",Marketing,"Online,PromotionWriting,SkillsBlogsGoogle,AdWords,YoutubeWeb,Analyti,CSS,ocial,Media,Marketing,Seo"
https://www.naukri.com/jobs-in-maharashtra-4021,Vidyalankar Classes and Publication,Social Media Executive,2-4 Yrs,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",Job DescriptionResponsibilities:Create and execute the  Marketing     strategy and plan for ...,"Marketing,Marketing","Marketing,StrategyFacebook,Ads,ManagerSalesSocial,MediaCanvaYoutube,Marketing,CampaignsGoogle,AdWords"
https://www.naukri.com/jobs-in-maharashtra-3689,Digi Chefs LLP,Business Development Executive,1-4 Yrs,Mumbai,"Must have interpersonal skillsRequirement Good communication skills, written and spoken","Lead,Marketing","Lead,GenerationSalesDi,GIT,al,SalesDi,GIT,al,Marketing,Business,DevelopmentRevenue,Generation"
https://www.naukri.com/jobs-in-maharashtra-4175,Alpine Placement consultant,Inside Sales Executive - Female,2-6 Yrs,Pune(Kothrud),"Proficiency in English, Hindi & Marathi.Computer Literacy is a must(CRM  Software   ) Keep ...",Office,"TelesalesInside,SalesCRM,Software,communicationTarget,AchievementCustomer,ServiceStrong,Interpersonal,SkillsMS,Office"
https://www.naukri.com/jobs-in-maharashtra-4239,Sapphire Hospital,Critical Care Units- Head Nurse,6-8 Yrs,Thane,Job Description ? Assessing and planning nursing care requirements ? Providing pre- and...,Staff,"EMERGENCYCASUALTY,Hospitals,Staff,Nurse,NursesGNMPCBSC,Healthcare"
https://www.naukri.com/jobs-in-maharashtra-5419,Credo Consulting,Deputy Manager - Actuarial - P&C Pricing,5-10 Yrs,Mumbai,#NAME?,R,"GI,pricing,R,analytical,Python,General,Insurance,Actuarial"
https://www.naukri.com/jobs-in-maharashtra-1343,JB consultant,"Urgent - Accountants, Sales Positions - Join Immediately",0-3 Yrs,Mumbai,We have an urgent requirement with our reputed client. Looking for Immediate Joiners - ...,Marketing,"BcomTallyAccountingField,SalesIT,Sales,Marketing"
https://www.naukri.com/jobs-in-maharashtra-5471,Unimax,"Civil Engr, exp in construction of Circular Pump House at Amravati",7-10 Yrs,Amravati,Civil Engr 7-10 yrs exp construction of Circular Pump House including Electro-mechanica...,"work,of","Electromechanical,work,of,Pump,HousePump,house,constructionPump,House,EngineerCircular,Pump,House"
https://www.naukri.com/jobs-in-maharashtra-2093,Macart Equipment Pvt.Ltd., Marketing     Executive,2-5 Yrs,Pune,Should have capability of maintaining good client relationsShould be confident and have...,"Marketing,Marketing","TradeSales,StaffStrategic,planningPackagingSales,forecastingClient,relationship,Marketing,Executive,Marketing,strategy"
https://www.naukri.com/jobs-in-maharashtra-1409,BMC  Software   ,Education Portfolio Manager,5-10 Yrs,Maharashtra,"The BMC  Software    Education Portfolio Manager Mainframe defines, owns, and manages the d...",Marketing,"IT,SkillsMainframeEducational,Marketing,LearningInstructional,DesignContent,DeliveryE-learningCaptivate"
https://www.naukri.com/jobs-in-maharashtra-381,Mahesh Patil Coaching,Assistant Manager - Sales (Female Candidates),0-5 Yrs,Thane,Looking to work with Freshers to 3 Years Experienced Female Candidates who are ready to...,Office,"Customer,ServiceCustomer,SupportSalesCustomer,Experience,ManagementFront,OfficePeopleSales,ManagementMS,Office"
https://www.naukri.com/jobs-in-maharashtra-1723,BookMyShow,Executive - Outreach  Marketing     (Emailers/PNs/SMS),1-5 Yrs,Mumbai,"Your Profile Execute campaigns to enhance customer lifecycle customer value, through re...","Marketing,Marketing,Marketing,Marketing","Clevertap,Marketing,Initiatives,Marketing,CampaignsEmail,Marketing,Marketing,ExecutiveCrm"
https://www.naukri.com/jobs-in-maharashtra-522,Bahwan CyberTek,"Urgent Opening  OMS Sterling Development - BCT Chennai,Bangalore,Pune",7-9 Yrs,"Pune, Chennai, Bangalore/Bengaluru",Experience in working in agile development environment7 + years of experienceExperience...,and,"IT,SkillsCloudSterling,CommerceSterling,GIVWeb,Order,sourcing,AE,DCs,and,3PLsSterling,DeploymentSterling,Web,StoreOMS,Sterling,Developer"
https://www.naukri.com/jobs-in-maharashtra-2847,PRI India,Lead  Java  Developer,10-12 Yrs,Pune,"Obtain and evaluate information on factors such as reporting formats required, costs, a...",L,"L,AWS,onwritten,communicationSDET,Java,Full,StackOracleHadoopDevOpsPega"
https://www.naukri.com/jobs-in-maharashtra-2967,Squircle IT Consulting Services Pvt Ltd,IOS Developer,3-7 Yrs,Pune,Minimum 3/ 4 experience in iOS application development. Proficient with Swift 2.0 or ob...,"Technical,C","Technical,product,configuration,C++,C,design,MySQL,JavaScript,Integration,PHP,HTML"
https://www.naukri.com/jobs-in-maharashtra-4173,Lion Rubber Industries Pvt. Ltd.,Administration Executive,1-5 Yrs,Vasai,"Domestic and global travel administration and arrange accommodation for visitors, staff...",Office,"Office,AssistanceAdministrative,SupportAdministration,WorkFront,DeskSecretarial,Activities,HR,AdministrationCorrespondenceStationery"
https://www.naukri.com/jobs-in-maharashtra-3201,LINUX LABORATORIES PRIVATE LIMITED,Regional Business Manager - Pharma company (Neuro Division),12-18 Yrs,"Vijayawada, Nagpur, Hyderabad/Secunderabad",Good Team Leader,Marketing,"Marketing,StrategySalesPromotionsMarket,SurveyNew,Product,LaunchTeam,MotivationKolPartnerships"
https://www.naukri.com/jobs-in-maharashtra-1585,SG Analytics Pvt Ltd,Research Analyst,1-4 Yrs,Pune,Candidate is required to read and understand Corporate Action fillings with the SEC and...,Office,"TrainingSECCorporate,actionsQuery,resolutionCorporateMS,Office,toolsDatabaseResearch,Analyst"
https://www.naukri.com/jobs-in-maharashtra-3331,LL Manufacturing LLP,Back Office Assistant,3-5 Yrs,Mumbai Suburban,"handling office admin, quotations filing, assisting directors in coordination of depart...",Office,"Office,AssistanceOffice,AdministrationSales,SupportQuotation"
https://www.naukri.com/jobs-in-maharashtra-5282,URRI HR INDIA PVT. LTD,Purchase Assistant - API,3-6 Yrs,Mumbai,Experience in raw material purchaseExperience : 3 to 4 YearsExperience in API industryE...,-,"PurchasePurchase,AssistantAPIPurchase,Assistant,-,API"
https://www.naukri.com/jobs-in-maharashtra-3963,Eurofins It Solutions India Pvt Ltd,Manager Sales,3-10 Yrs,Mumbai,MBA with at least 8-10 years experience in B2B sales preferably from Automobile Must ha...,Lead,"Lead,generationAutomobileSalesMarket,intelligenceAfter,sales,supportB2B,SalesBudgetingResearch"
https://www.naukri.com/jobs-in-maharashtra-2007,Rohan Packaging,Sales &  Marketing     Manager,4-8 Yrs,Pune,"Evaluate the financial aspects of product development, such as budgets, expenditures, r...",Marketing,"SalesCustomer,satisfactionFinancePackagingResearchManagementCost,Marketing,strategy"
https://www.naukri.com/jobs-in-maharashtra-4333,Firstsource Solutions Ltd,Senior Manager - Product and Strategy,5-7 Yrs,Mumbai,Wide experience in navigating complexities in a global business environment across vari...,Marketing,"RfpsProduct,ManagementB2BDi,GIT,al,MediaStrategyNew,Product,Marketing,Solution,Architecture"
https://www.naukri.com/jobs-in-maharashtra-4495,Boppo Technologies Pvt. Ltd.,Data Scientist,1-3 Yrs,Mumbai,Experience in data mining Experience using business intelligence tools (e.g,-,"Java,HadoopRTableauScalaC++SQLmachine,-"
https://www.naukri.com/jobs-in-maharashtra-3347,Ksquare Realty Private Limited,Real Estate Manager,3-8 Yrs,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",Lead Generation Generating a sales pipeline for future. Establishing relationship with ...,"Marketing,Marketing,Marketing","Team,HandlingReal,Estate,Marketing,SalesReal,EstateDi,GIT,al,Marketing,Online,SalesBusiness,DevelopmentSocial,Media,Marketing"
