pagination,comp_name,comp_role,comp_exp,comp_loc,comp_desc,mskills,cmp_skills
https://www.naukri.com/jobs-in-maharashtra-1325,Benchire,Engineering Manager Front End - React.js/Redux,6-11 Yrs,"Pune, Bangalore/Bengaluru",6+ years of experience with one of the top frontend frameworks - React (preferred)/ Ang…,"CSS,HTML","CSS,reactjs,Angular.js,SASS,HTML,AngularJS,React,JS"
https://www.naukri.com/jobs-in-maharashtra-3473,Orcapod Consulting Services Private Limited,Dot Net Lead,10-12 Yrs,Pune,Experience with unit testing and mocking frameworks (Moq) Must Have skills mentioned ar...,CSS,"debugging,CSS,unit,testing,TDD,Agile,SQL,API,.NET,MVC"
https://www.naukri.com/jobs-in-maharashtra-2799,mycitypune,Di GIT  al  Marketing     Executive,3-7 Yrs,Pune,"Candidate should be BCA/ MCA. Should have 3 years of experience of SEO, SEM & SMM,  HTML ...","CSS,HTML","SMM,CSS,JavaScript,HTML,SEMSEODi,GIT,al,Marketing,Executive"
https://www.naukri.com/jobs-in-maharashtra-1233,Careernet Technologies Pvt Ltd,"Opportunity For "" Java  developer"" with Mphasis For permanent position",4-8 Yrs,"Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Required Skills Good communication and team player skills Good experience into  Java  dev...,Java,"IT,Skills,Java,Spring,BootMicroservices"
https://www.naukri.com/jobs-in-maharashtra-3807,Commerce Pundit,Sr. SEM Executive,5-10 Yrs,"Mumbai, Ahmedabad",Good knowledge of current industry trends and  Marketing     tools Google AdWords  certificat...,communication,"Google,AdWords,communication,analytical,account,managementGoogle,Analytics,Skills,Digital,Marketing,Analytical,skills"
https://www.naukri.com/jobs-in-maharashtra-2283,Netcentric,AEM Developer Mid / Senior,4-8 Yrs,Pune,"Estimating development tasks, pointing out risks, required provisions and limitations i...",HTML,"MavenInterpersonal,skills,GIT,jQuery,JSPCMS,JavaScript,HTML"
https://www.naukri.com/jobs-in-maharashtra-3351,KK  Software    ASSOCIATES (GLOBAL) PRIVATE LIMITED,Dot Net Developer,4-6 Yrs,"Nagpur, Hyderabad/Secunderabad, Pune",Immediates Joiners or serving Notice period within 15 dayscan call on 8830884356 Job de...,"CSS,HTML","IT,Skills,JavaScript,.NET,ASP,.NET,C#,CSS,HTML,SQL,Server"
https://www.naukri.com/jobs-in-maharashtra-3197,BA Continuum India Pvt. Ltd., Software    Engineer II B,4-7 Yrs,Mumbai,The resource should have Strong Development/Maintenance experience of Mulesoft .Should ...,Java,"Java,Communication,SkillsRest,Software,DevelopmentAnalytical,SkillsAgileApplication,SupportSpring,Boot"
https://www.naukri.com/jobs-in-maharashtra-885,Aspire Recruitment Solutions,"Camunda ( Software    Engineer, Senior  Software    Engineer)",8-12 Yrs,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Technical Experience : A 1-4 Years in BPMS systems-2 years in Camunda B Hands on experi...,"communication,Java","communication,Java,developmentSpringrelational,DBCamundaJ2EECamunda,BPM"
https://www.naukri.com/jobs-in-maharashtra-3479,Mind Merchant Global Pvt. Ltd.,Sr.  Software    Engineer,2-4 Yrs,Mumbai,"NET  Java  script , user level exposure Hands on experience in  HTML  Experience in deployi...",HTML,"jQuery,ADO.NET,JavaScript,HTML,WindowsVisual,StudioStored,proceduresSSIS"
https://www.naukri.com/jobs-in-maharashtra-3171,LegalDocs, Software    Developer,1-5 Yrs,Mumbai,"Experience - 1 Year+ Understanding of basic  PHP  ,  MySQL i Advance Understanding of  HTML , ...",HTML,"jQuery,MySQL,i,JavaScript,PHP,HTML"
https://www.naukri.com/jobs-in-maharashtra-4563,Talent  Corner HR Services Pvt Ltd,React Developer-Remote working Pune,4-8 Yrs,Pune,Experience in React or Node. Strong knowledge of    JavaScript  and web application develop...,CSS,"NodeJS,JavaScript,Node,web,application,development,React,ReactJS,IT,Skills,CSS"
